filename, language, JavaScript, JSON, HTML, Python, comment, blank, total
app.js, JavaScript, 41, 0, 0, 0, 1, 10, 52
build\config.gypi, Python, 0, 0, 0, 76, 1, 1, 78
data.json, JSON, 0, 1, 0, 0, 0, 0, 1
datastuff.json, JSON, 0, 0, 0, 0, 0, 1, 1
ensureAuth.js, JavaScript, 24, 0, 0, 0, 0, 0, 24
package-lock.json, JSON, 0, 6510, 0, 0, 0, 1, 6511
package.json, JSON, 0, 39, 0, 0, 0, 1, 40
passport-config.js, JavaScript, 23, 0, 0, 0, 0, 4, 27
routes\api.js, JavaScript, 135, 0, 0, 0, 9, 30, 174
routes\application.js, JavaScript, 35, 0, 0, 0, 0, 7, 42
routes\dashboard.js, JavaScript, 20, 0, 0, 0, 0, 5, 25
routes\download.js, JavaScript, 975, 0, 0, 0, 5, 12, 992
routes\userAuth.js, JavaScript, 84, 0, 0, 0, 0, 12, 96
views\admin.ejs, HTML, 0, 0, 90, 0, 0, 1, 91
views\application.ejs, HTML, 0, 0, 150, 0, 0, 1, 151
views\dashboard.ejs, HTML, 0, 0, 184, 0, 0, 3, 187
views\forbidden.ejs, HTML, 0, 0, 20, 0, 0, 0, 20
views\index.ejs, HTML, 0, 0, 99, 0, 0, 1, 100
views\jobs.ejs, HTML, 0, 0, 199, 0, 0, 3, 202
views\login.ejs, HTML, 0, 0, 71, 0, 0, 0, 71
views\partials\message.ejs, HTML, 0, 0, 23, 0, 0, 0, 23
views\partials\regularheader.ejs, HTML, 0, 0, 26, 0, 0, 0, 26
views\shared.ejs, HTML, 0, 0, 86, 0, 0, 1, 87
views\signup.ejs, HTML, 0, 0, 79, 0, 0, 1, 80
Total, -, 1337, 6550, 1027, 76, 16, 95, 9101
